y,x
1.01,0.5
0.06,0.055
0.07,0.08
0.03,0.046667
0.04,0.05
8.73,4.15
0.011,0.014
2.09,3.736323
0.2,0.18
0.1,0.3
0.03,0.2
0.08,0.14
0.11,0.4
0.05,0.06
0.015,0.02
0.065,0.11
0.07,0.09
0.04,3.60072
0.11,0.08
0.07,0.03
0.2,0.24
1.8,2.81
0.01,0.03
0.105,0.28
0.01,0.02
0.02,0.021
0.02,0.08
0.12,0.2
0.5,0.1
0.015,0.075
0.48,0.581818
0.02,0.03
11.59,10.74
0.82,0.51
0.01,0.06
0.31,0.36
0.5,0.2
0.4,1
0.2,3
0.0021,0.0167
14.696527,14.325197
0.15,0.24
0.04,0.13
0.69,1.98
0.55,1.88
9.776799,19.491373
0.08,0.1
0.09,0.13
0.07,0.08
0.09,0.26
1.02,3.19
0.19,0.21
0.56,2.159914
0.24,0.73
0.06,0.14
0.21,0.28
1.21,0.7
0.06,0.12
0.015,0.018
0.12,0.16
0.6,0.5
0.05,0.11
0.18,0.35
0.02,0.01
0.13,0.06
0.98,0.73
3.79,4.56505
4.75,6.24
0.05,0.1
28.890013,19.864246
0.04,0.14
0.39,0.28
0.25,0.41
0.68,1.11
0.08,0.240005
0.97,1.36
0.79,1.34
0.02,0.05
1.59,1.79
5.23,5.01
11.279995,31.559986
0.14,0.07
5.775734,11.677165
0.02,0.04
0.01,0.05
0.05,0.09
0.02,0.04
0.0015,0.1
0.02,0.05
0.14,0.28
0.05,0.85
0.01,0.06
0.4,0.81
0.08,0.12
0.02,0.09
0.08,0.07
0.04,0.07
0.02,0.08
0.15,0.3
0.31,0.12
0.07,0.12
0.05,0.15
0.25,0.54
0.065,0.13
0.05,0.6
0.1,1.25
0.42,0.57
0.12,0.14
0.3,0.25
0.05,0.03
0.01,0.105
0.01,0.3
0.22,0.58
1.44,2.95
1.21,2.6
0.0075,0.069
12.205752,9.055739
36.504383,34.37104
0.04,0.09
19.458635,27.016983
91.010086,103.957413
81.458054,61.610382
13.26,36.360764
10.729652,15.811565
33.466949,34.103214
79.627434,81.649651
0.02,0.07
0.3,0.21
23.179535,25.079752
47.440186,38.65987
37.970161,36.789211
0.07,0.06
0.033,0.9
1.2,0.75
6.595778,3.539423
108.212875,100.041977
0.17,0.17
52.333759,54.627037
34.738678,37.428799
16.914747,18.198919
33.018349,28.242092
0.023,0.078
45.682064,40.67033
1.01,25
0.11,0.06
27.058764,14.373816
32.840805,47.68177
0.0105,0.0042
0.03,0.04
1e-04,1e-04
35.061039,17.376766
13.013963,12.512959
0.26,0.75
1.095304,2.209647
12.53,17.940001
41.490002,55.68
1.38,4.02
20.280001,30.43
23.049999,69.080002
10.94584,17.983303
11.6,43.286308
42.086128,39.748562
0.08,0.15
12.63,23.040001
3.670202,1.757092
3.507359,5.063937
20.530001,53.5
0.18,0.19
0.46,0.51
16.050007,90.300049
3,6.77
1.95,2.85
18.280001,15.58
0.25,0.7
4.82,4.853972
5.34,8.18
15.44,27.620001
19.06699,19.364237
46.328388,56.878288
22.82,23.49
8.13,10.99
2.951406,4.182193
2.351471,3.976175
44.698723,67.192581
37.23,52.937141
3.32,4.98
21.30405,17.301401
0.45,4
0.24,0.76
8.207223,8.321009
6.565474,7.987617
1.12,1.37
0.135,0.63
2.480159,3.842804
1.5,1.88
13.83,13.183606
83.378281,66.915955
70.940002,83.050003
0.12,0.599999
12.361841,12.752445
35.662331,39.499424
20.799999,29
2.748141,2.830296
20.654324,24.994038
11.43,7.32
1e-04,0.0077
0.00746,0.0126
1.25,2.95
52.763706,51.331875
6.38,10.26
21.783295,51.861092
14.913899,13.85315
0.06,0.0525
4.15,13.341342
16.031155,16.719568
0.12,0.26
1.28,6.14
6.247632,4.225004
35.234875,31.547594
13.006449,14.951799
6.609575,6.824786
13.998914,27.089504
67.68718,57.122887
28.515612,24.755949
69.260002,27.76
31.656538,110.702515
26.623974,41.332943
29.354717,23.487419
55.563625,39.735016
44.507175,37.78846
32.096043,20.359205
29.027557,12.678578
45.409081,38.459705
28.794985,17.49077
77.706551,43.999458
40.03804,43.26305
20.378569,20.439985
32.159008,30.781982
26.603001,18.35162
39.74329,25.167345
36.360767,32.999405
2.86,4.03
69.233337,47.997211
25.938341,31.326286
66.64473,32.684002
52.557827,34.458286
33.914249,20.851107
30.118731,38.870667
37.765919,27.615273
38.303585,44.607689
18.458149,27.540003
73.814003,48.201382
30.567204,30.035002
42.993656,39.249886
8.335242,4.118482
28.86915,26.89319
34.977337,27.413834
0.02,0.179998
44.367229,17.903719
79.59919,54.30088
52.294373,39.328476
48.119549,39.826595
38.503242,37.918499
34.495819,33.992046
14.942039,9.731586
56.962753,37.494186
58.111736,55.1651
51.376976,26.66927
42.885307,36.840328
43.373344,64.982742
17.609226,12.687645
19.034012,17.95846
0.95,0.7
55.243603,69.013962
23.306349,27.615007
24.866261,18.946131
33.967808,36.195168
16.64279,21.610312
35.368874,25.960661
19.80024,16.238235
7e-04,0.0019
40.716339,36.189804
60.200001,69.510002
50.263691,32.740791
2e-04,0.0059
25.780716,22.396559
10.32,3.98
23.426491,14.559496
26.962555,22.471273
77.683678,54.079258
11.56,14.23
52.023777,20.34742
40.376808,23.598944
81.908707,48.914486
20.288363,21.943007
59.846214,31.752171
41.130726,23.908493
47.617393,39.402504
0.35,0.28
5.71,13.3
0.14,0.08
2.51,3.64
1.99,3.43
0.5,1.76
6.05,11.16
4.55,3.5
0.53,0.79
2.616272,2.941126
0.21,0.7
9.79,6.15
0.25,0.27
0.53,0.73
10.559848,11.143663
0.17,0.99
0.0239,0.005
0.01,0.06
7.85,6.72
6.28,6.34
21.329092,19.813137
17.083239,18.863276
1.33,2.84703
0.4,0.3
0.17,0.03
53.872704,58.666622
0.05,0.01
1.95,2.89
0.025,0.077
0.27,0.3
5e-05,0.0117
0.023,0.015
0.004,0.024
36.191143,35.051208
0.06,0.03
1.426607,7.717681
28.309999,20.299999
0.03,0.02
31.287491,14.337666
1.19,4.35
0.5,0.25
0.012,0.01
16.780001,6.95
2.05,0.79
26.668859,12.667747
2.07,1.16
39.114723,36.648464
39.957859,36.417801
46.200001,25
15.05,16.25
49.248222,41.332691
44.491993,38.495712
106.709282,70.886696
25.2745,20.70076
24.719999,36.682816
23.879999,21.200001
9.823626,13.361133
0.3,0.27
0.7,0.91
99.643387,60.602787
0.44,0.44
3.75,8.52017
53.384285,39.730534
0.002,0.002
435.207977,251.128845
16.1,11.2
29.355949,25.29562
25.556547,21.317865
7.49,8.01
10.32,3.98
38.468464,23.887199
112.644402,69.999649
87.112953,59.065823
47.562401,29.580584
5.36,2.18
66.952187,38.243294
1.43,0.78
271.198944,170.583267
80.342346,61.737408
6.25,11
0.0037,0.008
99.851074,83.663849
85.418571,51.424236
67.31295,46.518063
3.87,3.04
